organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
107853,111055,L,2025-H1,IM,NH,P4,PC,,,,5986820,,,
107853,111055,L,2025-H1,IM,NH,P4,PL,,,,6233815,,,
107853,111055,L,2025-H1,IM,NH,P4,ST,,,,17513348,,,
107853,111055,L,2025-H1,IM,NH,P4,WD,,,,27115138,,,
107853,111055,L,2025-H1,IM,RU,P5,WD,,,,20888680,,,
107853,111055,L,2025-H1,PF,NH,P4,PC,,,,24126075,,,
107853,111055,L,2025-H1,PF,NH,P4,PL,,,,4913410,,,
107853,111055,L,2025-H1,PF,NH,P4,WD,,,,49995919,,,
107853,111055,L,2025-H1,PF,RU,P5,WD,,,,21215236,,,
107853,111055,L,2025-H1,SO,NH,P1,PL,,,,324741,,,
107853,114393,L,2025-H1,IM,NH,P4,PC,,,,32739437,,,
107853,114393,L,2025-H1,IM,NH,P4,PL,,,,19011188,,,
107853,114393,L,2025-H1,,OW,O2,PC,,EN,,15863686,,,
107853,111055,L,2025-H1,,OW,O2,PC,,EN,,41746144,,,
107853,114393,L,2025-H1,,OW,O2,PL,,EN,,43716008,,,
107853,111055,L,2025-H1,,OW,O2,PL,,EN,,12750737,,,
107853,111055,L,2025-H1,,OW,O2,ST,,EN,,9167999,,,
107853,111055,L,2025-H1,,OW,O2,WD,,EN,,7651982,,,
106855,110693,L,2025-H1,,OW,O2,PL,,EN,,7826477,,,
106855,110693,L,2025-H1,,OW,O2,WD,,EN,,40171287,,,
106855,110693,L,2025-H1,IM,NH,P4,PL,,,,3889513,,,
106855,110693,L,2025-H1,IM,NH,P4,WD,,,,34012549,,,
106855,110693,L,2025-H1,IM,RU,P5,WD,,,,43143754,,,
106855,110693,L,2025-H1,PF,NH,P1,PC,,,,23253196,,,
106855,110693,L,2025-H1,PF,NH,P2,PC,,,,48733558,,,
106855,110693,L,2025-H1,PF,NH,P4,PL,,,,12436798,,,
106855,110693,L,2025-H1,PF,NH,P4,WD,,,,6383041,,,
106855,110693,L,2025-H1,PF,RU,P5,WD,,,,19390316,,,
106855,110693,L,2025-H1,,OW,O2,PC,,EN,,2516520,,,
106855,110693,L,2025-H1,IM,NH,P4,PC,,,,15353795,,,
105097,115156,L,2025-H1,SO,NH,P1,PC,,,,22251733,,,
105097,115156,L,2025-H1,SO,NH,P1,ST,,,,39904061,,,
102204,,L,2025-H1,PF,HDC,,AL,,,,27062982,2215091009,,
102204,,L,2025-H1,PF,HDC,,GL,,,,21202390,120884372,,G
102204,,L,2025-H1,PF,HDC,,PL,,,,8906771,638602930,,
102204,,L,2025-H1,PF,HH,P1,AL,,,,41927302,,,G
102204,,L,2025-H1,PF,HH,P1,OT,Glue,,,14425246,,,G
102204,,L,2025-H1,PF,HH,P1,PC,,,,29251897,,,G
102204,,L,2025-H1,PF,HH,P1,PL,Flexible,,,11561541,,,R
102204,,L,2025-H1,PF,HH,P1,ST,,,,24411714,,,G
102204,,L,2025-H1,PF,NH,P1,PC,,,,33446786,,,
102204,,L,2025-H1,PF,NH,P1,PL,,,,23452811,,,
102204,,L,2025-H1,PF,NH,P2,OT,Glue,,,31555473,,,
102204,,L,2025-H1,PF,NH,P2,PC,,,,42626894,,,
102204,,L,2025-H1,PF,NH,P2,PL,,,,4594115,,,
102204,,L,2025-H1,PF,NH,P4,PC,,,,13907537,,,
102204,,L,2025-H1,PF,NH,P4,PL,,,,11163796,,,
102204,,L,2025-H1,PF,PB,B1,PL,Flexible,,,9863829,,,R
105578,,L,2025-H1,SO,HH,P1,OT,String,,,16470917,,,
105578,,L,2025-H1,SO,HH,P1,PC,,,,10272197,,,
105578,,L,2025-H1,SO,HH,P1,PL,Flexible,,,39235604,,,
105578,,L,2025-H1,SO,HH,P1,PL,Rigid,,,46551310,,,
105578,,L,2025-H1,SO,HH,P1,ST,,,,42353515,,,
105578,,L,2025-H1,SO,HH,P1,WD,,,,46553991,,,
105578,,L,2025-H1,SO,NH,P1,AL,,,,31835556,,,
105578,,L,2025-H1,SO,NH,P1,GL,,,,6160636,,,
105578,,L,2025-H1,SO,NH,P1,OT,Cloth,,,37448147,,,
105578,,L,2025-H1,SO,NH,P1,OT,Copper,,,24808126,,,
101349,,L,2025-H1,IM,HH,P1,PL,Flexible,,,399981,,,A-M
101349,,L,2025-H1,IM,HH,P1,PL,Rigid,,,38857602,,,G-M
101349,,L,2025-H1,IM,NH,P2,PC,,,,26879014,,,
101349,,L,2025-H1,IM,NH,P4,PL,,,,47980062,,,
101349,,L,2025-H1,IM,NH,P4,WD,,,,6470256,,,
101349,,L,2025-H1,IM,RU,P5,WD,,,,33821675,,,
101349,,L,2025-H1,SO,HH,P1,AL,,,,12731592,,,A-M
101349,,L,2025-H1,SO,HH,P1,GL,,,,25560471,,,G-M
111827,,L,2025-H1,IM,NH,P4,PC,,,,9039925,,,
111827,,L,2025-H1,IM,NH,P4,PL,,,,22828050,,,
111827,,L,2025-H1,IM,NH,P4,WD,,,,43501854,,,
111827,,L,2025-H1,IM,RU,P5,WD,,,,33109274,,,
111827,,L,2025-H1,PF,NH,P4,PL,,,,43339566,,,
111827,,L,2025-H1,PF,NH,P4,WD,,,,26485575,,,
111827,,L,2025-H1,PF,RU,P5,WD,,,,17231517,,,
111827,,L,2025-H1,SO,HH,P1,PC,,,,49631591,,,G
111827,,L,2025-H1,SO,HH,P3,PL,Flexible,,,18281153,,,R
111827,,L,2025-H1,SO,NH,P1,PC,,,,46736330,,,
111827,,L,2025-H1,SO,NH,P1,PL,,,,28532157,,,
111827,,L,2025-H1,SO,NH,P1,ST,,,,35074893,,,
111827,,L,2025-H1,,OW,O2,PC,,NI,,29160350,,,
111827,,L,2025-H1,,OW,O2,PL,,NI,,18933137,,,
111827,,L,2025-H1,,OW,O2,WD,,NI,,37292927,,,
100962,,L,2025-H1,IM,NH,P2,PC,,,,36925433,,,
100962,,L,2025-H1,IM,NH,P2,PL,,,,18678966,,,
100962,,L,2025-H1,IM,NH,P4,PC,,,,11849811,,,
100962,,L,2025-H1,IM,NH,P4,PL,,,,17023055,,,
100962,,L,2025-H1,IM,NH,P4,WD,,,,1183437,,,
100962,,L,2025-H1,IM,PB,B1,PC,,,,44165730,,,G
100962,,L,2025-H1,IM,RU,P5,WD,,,,39648938,,,
100962,,L,2025-H1,PF,NH,P2,PC,,,,16073636,,,
100962,,L,2025-H1,PF,NH,P2,PL,,,,24871314,,,
100962,,L,2025-H1,PF,NH,P4,PC,,,,13440711,,,
100962,,L,2025-H1,PF,NH,P4,PL,,,,31909141,,,
100962,,L,2025-H1,SE,HH,P1,AL,,,,41865198,,,G
100962,,L,2025-H1,SE,HH,P1,FC,,,,6543080,,,R
